k,sup,maxSup,time_s,loss_metric,vector
2,0,0,1586.5018738000654,3.0,"(4, 4, 0, 0, 0, 1)"
5,0,0,823.534061500337,3.0,"(4, 4, 0, 0, 0, 1)"
10,0,0,581.7211738000624,3.5671856261261263,"(3, 4, 1, 1, 0, 1)"
2,5,10,5327.989618400112,2.0800100000000006,"(2, 4, 0, 0, 0, 1)"
5,6,10,1878.8319427999668,2.1676763963963963,"(3, 4, 0, 0, 0, 1)"
10,6,10,1011.3097852999344,2.5674128963963962,"(3, 4, 0, 1, 0, 1)"
2,77,100,17266.50749710016,1.351926344916345,"(3, 3, 0, 0, 0, 1)"
5,98,100,6599.705539999995,2.0419756190476193,"(4, 1, 0, 0, 0, 1)"
10,19,100,3011.088730099611,2.168181171171171,"(3, 4, 0, 0, 0, 1)"
