k,sup,maxSup,time_s,loss_metric,vector
2,0,0,2938.6514459999744,0.25006140193404414,"(2, 3, 0)"
5,0,0,1873.3259184999624,0.3417525028514753,"(3, 3, 0)"
10,0,0,1484.0921058999375,0.3417525028514753,"(3, 3, 0)"
2,8,10,5424.858682799968,0.07251888205636829,"(1, 1, 0)"
5,8,10,3163.3666500999825,0.16240944408628813,"(2, 2, 0)"
10,3,10,2026.8414295000257,0.2500698028762708,"(2, 3, 0)"
2,8,100,7272.473742999951,0.07251888205636829,"(1, 1, 0)"
5,75,100,4861.520060300012,0.07271506298041161,"(1, 1, 0)"
10,16,100,3363.331331399968,0.1624325673196132,"(2, 2, 0)"
