k,sup,maxSup,time_s,loss_metric,vector
2,0,0,156.027,3.0,"(4, 4, 0, 0, 0, 1)"
5,0,0,92.062,3.0,"(4, 4, 0, 0, 0, 1)"
10,0,0,80.912,3.5671856261261263,"(3, 4, 1, 1, 0, 1)"
2,5,10,358.834,2.0800100000000006,"(2, 4, 0, 0, 0, 1)"
5,6,10,164.215,2.1676763963963963,"(3, 4, 0, 0, 0, 1)"
10,6,10,112.617,2.5674128963963962,"(3, 4, 0, 1, 0, 1)"
2,77,100,716.491,1.351926344916345,"(3, 3, 0, 0, 0, 1)"
5,98,100,357.516,2.0419756190476193,"(4, 1, 0, 0, 0, 1)"
10,19,100,233.012,2.168181171171171,"(3, 4, 0, 0, 0, 1)"
