k,sup,maxSup,time_s,loss_metric,vector
2,0,0,108.30222149984911,0.26068668725868727,"(3, 2, 0)"
5,0,0,63.954656600020826,1.0,"(4, 0, 0)"
10,0,0,48.17714039981365,1.0,"(4, 0, 0)"
2,3,10,253.33228409988806,0.16558977863577864,"(2, 2, 0)"
5,8,10,113.13331460021436,0.3485413281853282,"(3, 3, 0)"
10,0,10,75.95232249982655,1.0,"(4, 0, 0)"
2,44,100,370.3155465000309,0.07518499356499356,"(1, 1, 0)"
5,36,100,229.75364559981972,0.16652950321750323,"(2, 2, 0)"
10,48,100,158.4967598002404,0.25446966795366793,"(2, 3, 0)"
