k,sup,maxSup,time_s,loss_metric,vector
2,0,0,39.30894732475281,3.0,"(4, 4, 0, 0, 0, 1)"
5,0,0,31.002934455871582,3.0,"(4, 4, 0, 0, 0, 1)"
10,0,0,30.290181875228882,3.0,"(4, 4, 0, 0, 0, 1)"
2,7,10,69.15702962875366,2.1704729729729726,"(3, 4, 0, 0, 0, 1)"
5,0,10,42.49169301986694,3.0,"(4, 4, 0, 0, 0, 1)"
10,0,10,35.33429574966431,3.0,"(4, 4, 0, 0, 0, 1)"
2,61,100,174.41357803344727,1.7264837933387933,"(3, 2, 0, 1, 0, 1)"
5,90,100,88.81526970863342,2.202571171171171,"(3, 4, 0, 0, 0, 1)"
10,69,100,64.98813557624817,2.6339646846846847,"(3, 4, 0, 1, 0, 1)"
