k,sup,maxSup,time_s,loss_metric,vector
2,0,0,56.62563659995794,3.0,"(4, 4, 0, 0, 0, 1)"
5,0,0,34.89087520027533,3.0,"(4, 4, 0, 0, 0, 1)"
10,0,0,27.44263180019334,3.0,"(4, 4, 0, 0, 0, 1)"
2,7,10,203.40304790018126,2.1704729729729726,"(3, 4, 0, 0, 0, 1)"
5,0,10,78.53522899979725,3.0,"(4, 4, 0, 0, 0, 1)"
10,0,10,50.183913100045174,3.0,"(4, 4, 0, 0, 0, 1)"
2,61,100,690.6691688001156,1.7264837933387933,"(3, 2, 0, 1, 0, 1)"
5,90,100,293.233937300276,2.202571171171171,"(3, 4, 0, 0, 0, 1)"
10,69,100,193.1033300999552,2.6339646846846847,"(3, 4, 0, 1, 0, 1)"
