k,sup,maxSup,time_s,loss_metric,vector
2,0,0,5.225797891616821,1.035836936936937,"(4, 1, 0)"
5,0,0,5.231911897659302,1.035836936936937,"(4, 1, 0)"
10,0,0,4.329577445983887,1.035836936936937,"(4, 1, 0)"
2,9,10,9.343435764312744,0.2605820911820912,"(2, 3, 0)"
5,0,10,6.236233472824097,1.035836936936937,"(4, 1, 0)"
10,0,10,5.326632738113403,1.035836936936937,"(4, 1, 0)"
2,96,100,11.544601678848267,0.10423366093366093,"(1, 1, 0)"
5,95,100,9.410518646240234,0.19735716625716626,"(2, 2, 0)"
10,52,100,7.310107469558716,0.36972465192465187,"(3, 3, 0)"
