k,sup,maxSup,time_s,loss_metric,vector
2,0,0,66.77178835868835,0.26068668725868727,"(3, 2, 0)"
5,0,0,44.30542254447937,1.0,"(4, 0, 0)"
10,0,0,42.13989567756653,1.0,"(4, 0, 0)"
2,3,10,102.87922954559326,0.16558977863577864,"(2, 2, 0)"
5,8,10,66.38324117660522,0.3485413281853282,"(3, 3, 0)"
10,0,10,53.85111951828003,1.0,"(4, 0, 0)"
2,44,100,137.87020134925842,0.07518499356499356,"(1, 1, 0)"
5,36,100,98.39251446723938,0.16652950321750323,"(2, 2, 0)"
10,48,100,80.583575963974,0.25446966795366793,"(2, 3, 0)"
