k,sup,maxSup,time_s,loss_metric,vector
2,0,0,4.978849099949002,1.035836936936937,"(4, 1, 0)"
5,0,0,3.452874599955976,1.035836936936937,"(4, 1, 0)"
10,0,0,3.024174700025469,1.035836936936937,"(4, 1, 0)"
2,9,10,12.489502099808306,0.2605820911820912,"(2, 3, 0)"
5,0,10,6.571098499931395,1.035836936936937,"(4, 1, 0)"
10,0,10,5.365426599979401,1.035836936936937,"(4, 1, 0)"
2,96,100,22.818817799910903,0.10423366093366093,"(1, 1, 0)"
5,95,100,16.720508500002325,0.19735716625716626,"(2, 2, 0)"
10,52,100,11.07260960014537,0.36972465192465187,"(3, 3, 0)"
